,Age,Gender,Income Level,Dietary Preference,Exercise Frequency,Eating Disorder Habit,Location,Daily Caloric Intake
28,25,Female,High,vegan,High,binge_eating,springfield,1782
29,18,Male,Low,Vegetarian,Medium,restrictive_eating,champaign,950.4
30,57,Female,Medium,Vegetarian,Low,binge_eating,naperville,2770.2
31,36,Male,High,Non-vegetarian,High,binge_eating,naperville,3833.28
32,42,Male,High,vegan,Low,binge_eating,chicago,2993.76
33,53,Female,High,Vegetarian,Low,restrictive_eating,nashville,3090.96
34,47,Male,Medium,vegan,Medium,restrictive_eating,chicago,3102
35,60,Male,Low,Non-vegetarian,High,binge_eating,naperville,4259.2
36,23,Male,Low,Non-vegetarian,Medium,restrictive_eating,alton,1484.266667
37,20,Male,Medium,Non-vegetarian,Medium,restrictive_eating,chicago,1613.333333
38,26,Female,Medium,Non-vegetarian,High,binge_eating,alton,1887.6
39,39,Male,Medium,Vegetarian,Low,restrictive_eating,chicago,2316.6
40,48,Female,Medium,Non-vegetarian,High,binge_eating,chicago,3484.8
41,37,Male,Medium,vegan,Low,restrictive_eating,alton,2197.8
42,30,Female,Medium,Non-vegetarian,Medium,binge_eating,chicago,1980
43,48,Male,Low,Vegetarian,Low,restrictive_eating,nashville,2280.96
44,19,Male,High,Vegetarian,High,restrictive_eating,nashville,1655.28
45,50,Male,High,vegan,Medium,binge_eating,nashville,3960
46,31,Male,Medium,Non-vegetarian,High,restrictive_eating,champaign,2750.733333
47,29,Male,Medium,Non-vegetarian,Medium,binge_eating,chicago,2339.333333
48,19,Male,Medium,Non-vegetarian,Medium,binge_eating,naperville,1532.666667
49,30,Female,Medium,Vegetarian,Medium,binge_eating,champaign,1620
50,59,Female,Medium,vegan,Medium,binge_eating,alton,3186
51,28,Male,Medium,Vegetarian,High,restrictive_eating,alton,2032.8
52,32,Male,Low,vegan,High,binge_eating,champaign,1858.56
53,18,Male,Medium,vegan,High,binge_eating,nashville,1306.8
54,37,Female,High,Vegetarian,Medium,restrictive_eating,nashville,2397.6
55,57,Male,Medium,Non-vegetarian,Low,binge_eating,champaign,4138.2
56,43,Male,High,Non-vegetarian,High,restrictive_eating,alton,4578.64
57,36,Male,High,Non-vegetarian,Low,restrictive_eating,champaign,3136.32
58,36,Female,Low,Vegetarian,High,binge_eating,springfield,1710.72
59,19,Male,Medium,vegan,Medium,binge_eating,champaign,1254
60,51,Male,Low,Non-vegetarian,Medium,restrictive_eating,nashville,3291.2
61,31,Male,Medium,Non-vegetarian,Medium,restrictive_eating,nashville,2500.666667
62,31,Male,Low,Non-vegetarian,Low,binge_eating,chicago,1800.48
63,39,Male,High,Vegetarian,Low,binge_eating,nashville,2779.92
64,47,Female,Medium,vegan,Medium,binge_eating,champaign,2538
65,31,Male,Medium,vegan,Medium,restrictive_eating,naperville,2046
66,41,Male,Medium,vegan,Medium,binge_eating,chicago,2706
67,54,Male,Medium,Vegetarian,Medium,binge_eating,nashville,3564
68,25,Male,Low,Non-vegetarian,Medium,binge_eating,champaign,1613.333333
69,18,Female,High,Vegetarian,Low,restrictive_eating,nashville,1049.76
70,33,Female,High,vegan,Medium,restrictive_eating,nashville,2138.4
71,39,Female,Low,vegan,Medium,restrictive_eating,champaign,1684.8
72,50,Male,Medium,Non-vegetarian,High,binge_eating,chicago,4436.666667
73,44,Male,High,vegan,High,binge_eating,chicago,3833.28
74,31,Male,Medium,Vegetarian,Medium,restrictive_eating,chicago,2046
75,54,Female,Medium,Vegetarian,Low,binge_eating,springfield,2624.4
76,53,Female,Medium,Vegetarian,Low,binge_eating,nashville,2575.8
77,32,Male,Medium,vegan,Low,restrictive_eating,nashville,1900.8
78,46,Female,Medium,Non-vegetarian,Low,binge_eating,alton,2732.4
79,50,Male,Medium,Vegetarian,Medium,binge_eating,alton,3300
80,49,Male,Medium,Vegetarian,High,restrictive_eating,nashville,3557.4
81,46,Male,Medium,Non-vegetarian,Low,restrictive_eating,alton,3339.6
82,25,Male,Medium,Non-vegetarian,Medium,binge_eating,alton,2016.666667
83,56,Male,Medium,vegan,Low,restrictive_eating,chicago,3326.4
84,28,Male,Medium,Non-vegetarian,Medium,binge_eating,chicago,2258.666667
85,33,Female,Low,Vegetarian,High,restrictive_eating,alton,1568.16
86,25,Male,High,vegan,Medium,binge_eating,alton,1980
87,41,Male,High,vegan,Medium,restrictive_eating,chicago,3247.2
88,60,Male,Medium,vegan,Low,restrictive_eating,chicago,3564
89,23,Female,Medium,Vegetarian,Low,restrictive_eating,champaign,1117.8
90,37,Male,High,Vegetarian,Low,binge_eating,springfield,2637.36
91,40,Male,Low,vegan,High,binge_eating,champaign,2323.2
92,25,Female,High,vegan,Low,restrictive_eating,nashville,1458
93,33,Female,High,Non-vegetarian,High,binge_eating,chicago,2874.96
94,47,Female,Medium,Vegetarian,Low,restrictive_eating,nashville,2284.2
95,25,Male,Medium,vegan,Medium,restrictive_eating,naperville,1650
96,33,Female,Low,Non-vegetarian,High,binge_eating,champaign,1916.64
97,18,Male,Medium,vegan,Low,binge_eating,naperville,1069.2
98,25,Female,High,Non-vegetarian,Medium,binge_eating,alton,1980
99,43,Male,Medium,Non-vegetarian,High,restrictive_eating,champaign,3815.533333
100,26,Female,Medium,vegan,High,binge_eating,champaign,1544.4
101,23,Male,High,vegan,Low,restrictive_eating,alton,1639.44
102,48,Male,High,vegan,Low,binge_eating,alton,3421.44
103,20,Male,Medium,Non-vegetarian,Medium,binge_eating,chicago,1613.333333
104,39,Male,High,Non-vegetarian,Low,restrictive_eating,springfield,3397.68
105,47,Female,Medium,Non-vegetarian,Medium,binge_eating,springfield,3102
106,38,Female,Low,Non-vegetarian,Low,restrictive_eating,springfield,1805.76
107,57,Male,Medium,Non-vegetarian,Low,binge_eating,chicago,4138.2
108,58,Female,Medium,vegan,Low,restrictive_eating,alton,2818.8
109,50,Female,Low,Non-vegetarian,Medium,binge_eating,naperville,2640
110,54,Female,Low,Non-vegetarian,High,restrictive_eating,chicago,3136.32
111,33,Male,High,vegan,Low,restrictive_eating,chicago,2352.24
112,19,Male,Low,Vegetarian,Medium,binge_eating,alton,1003.2
113,43,Female,High,Non-vegetarian,Medium,binge_eating,alton,3405.6
114,36,Male,High,Vegetarian,Medium,binge_eating,alton,2851.2
115,43,Male,High,Vegetarian,High,restrictive_eating,nashville,3746.16
116,29,Female,Medium,Non-vegetarian,Low,restrictive_eating,champaign,1722.6
117,58,Male,Medium,vegan,Medium,restrictive_eating,alton,3828
118,58,Female,Medium,Vegetarian,Medium,binge_eating,chicago,3132
119,30,Male,Medium,vegan,Medium,restrictive_eating,springfield,1980
120,51,Female,Medium,Non-vegetarian,Low,binge_eating,alton,3029.4
121,34,Female,Low,Non-vegetarian,Medium,binge_eating,chicago,1795.2
122,35,Male,Medium,Vegetarian,Medium,binge_eating,nashville,2310
123,56,Female,Low,Non-vegetarian,Low,binge_eating,nashville,2661.12
124,56,Male,Medium,vegan,High,restrictive_eating,chicago,4065.6
125,32,Male,High,Non-vegetarian,Low,restrictive_eating,naperville,2787.84
126,39,Male,Medium,Vegetarian,Medium,binge_eating,chicago,2574
127,59,Female,Low,Non-vegetarian,Low,restrictive_eating,naperville,2803.68
128,50,Male,Medium,vegan,Low,restrictive_eating,alton,2970
129,60,Female,Medium,Non-vegetarian,Medium,binge_eating,springfield,3960
130,57,Male,Low,Non-vegetarian,High,binge_eating,chicago,4046.24
131,31,Male,Medium,Non-vegetarian,Medium,restrictive_eating,naperville,2500.666667
132,44,Female,Medium,vegan,High,binge_eating,alton,2613.6
133,27,Female,Low,Vegetarian,Medium,restrictive_eating,chicago,1166.4
134,42,Female,High,Vegetarian,Medium,restrictive_eating,springfield,2721.6
135,42,Female,Low,Non-vegetarian,Low,binge_eating,nashville,1995.84
136,19,Female,High,Vegetarian,Low,binge_eating,springfield,1108.08
137,28,Female,High,vegan,Low,restrictive_eating,alton,1632.96
138,19,Female,Medium,Vegetarian,Medium,binge_eating,springfield,1026
139,38,Male,Low,vegan,Medium,restrictive_eating,chicago,2006.4
140,40,Male,Medium,vegan,Low,restrictive_eating,chicago,2376
141,58,Female,Medium,Non-vegetarian,High,restrictive_eating,chicago,4210.8
142,44,Female,High,vegan,High,binge_eating,nashville,3136.32
143,28,Female,Low,Non-vegetarian,Low,restrictive_eating,alton,1330.56
144,22,Female,High,Vegetarian,Low,restrictive_eating,naperville,1283.04
145,46,Female,Medium,Non-vegetarian,Low,restrictive_eating,chicago,2732.4
146,43,Male,Low,vegan,Medium,restrictive_eating,nashville,2270.4
147,58,Male,Low,Non-vegetarian,Low,binge_eating,nashville,3368.64
148,29,Male,High,Vegetarian,Low,restrictive_eating,springfield,2067.12
149,35,Male,Medium,vegan,High,binge_eating,champaign,2541
150,47,Male,Low,Vegetarian,Medium,restrictive_eating,springfield,2481.6
151,32,Male,High,Vegetarian,High,restrictive_eating,nashville,2787.84
152,25,Female,High,Non-vegetarian,Low,restrictive_eating,chicago,1782
153,55,Male,High,Non-vegetarian,High,binge_eating,springfield,5856.4
154,35,Male,Medium,Non-vegetarian,High,restrictive_eating,nashville,3105.666667
155,31,Male,High,Vegetarian,Low,restrictive_eating,alton,2209.68
156,58,Female,Low,vegan,Low,restrictive_eating,naperville,2255.04
157,36,Male,High,vegan,Medium,restrictive_eating,alton,2851.2
158,25,Male,High,Vegetarian,Low,restrictive_eating,champaign,1782
159,19,Male,Medium,vegan,Low,restrictive_eating,champaign,1128.6
160,41,Female,Medium,vegan,High,restrictive_eating,springfield,2435.4
161,44,Female,Medium,Non-vegetarian,High,restrictive_eating,alton,3194.4
162,42,Female,Low,vegan,High,restrictive_eating,springfield,1995.84
163,52,Female,Low,Vegetarian,Low,restrictive_eating,springfield,2021.76
164,58,Male,High,vegan,High,binge_eating,naperville,5052.96
165,44,Male,High,Non-vegetarian,High,restrictive_eating,nashville,4685.12
166,31,Male,Medium,vegan,High,binge_eating,springfield,2250.6
167,53,Male,High,Vegetarian,High,binge_eating,alton,4617.36
168,40,Female,Medium,Non-vegetarian,High,restrictive_eating,naperville,2904
169,46,Female,Medium,Vegetarian,Low,restrictive_eating,chicago,2235.6
170,57,Male,Medium,vegan,Low,binge_eating,nashville,3385.8
171,49,Male,Medium,Vegetarian,High,binge_eating,springfield,3557.4
172,21,Female,Low,Non-vegetarian,High,restrictive_eating,chicago,1219.68
173,57,Female,Medium,Vegetarian,High,binge_eating,nashville,3385.8
174,24,Male,Low,Non-vegetarian,Low,binge_eating,springfield,1393.92
175,27,Female,High,Non-vegetarian,Medium,restrictive_eating,springfield,2138.4
176,44,Male,Low,Vegetarian,High,restrictive_eating,naperville,2555.52
177,50,Male,Low,Vegetarian,Low,restrictive_eating,springfield,2376
178,37,Female,Medium,Non-vegetarian,High,binge_eating,naperville,2686.2
179,44,Male,Low,Non-vegetarian,Medium,binge_eating,alton,2839.466667
180,21,Female,High,Non-vegetarian,Medium,restrictive_eating,champaign,1663.2
181,37,Female,Low,Vegetarian,Low,restrictive_eating,alton,1438.56
182,45,Male,Low,Vegetarian,Low,binge_eating,naperville,2138.4
183,20,Male,Medium,Non-vegetarian,High,restrictive_eating,nashville,1774.666667
184,24,Male,Low,vegan,Low,restrictive_eating,nashville,1140.48
185,53,Female,Medium,Vegetarian,High,restrictive_eating,springfield,3148.2
186,23,Female,Low,Vegetarian,High,restrictive_eating,springfield,1092.96
187,24,Male,Low,Non-vegetarian,Low,restrictive_eating,naperville,1393.92
188,57,Male,Low,Non-vegetarian,High,binge_eating,chicago,4046.24
189,53,Female,High,Vegetarian,High,binge_eating,springfield,3777.84
190,50,Female,Medium,vegan,Medium,restrictive_eating,naperville,2700
191,49,Male,Medium,Non-vegetarian,Low,restrictive_eating,chicago,3557.4
192,19,Male,Medium,Vegetarian,High,binge_eating,alton,1379.4
193,29,Female,High,vegan,Low,binge_eating,naperville,1691.28
194,30,Male,Medium,vegan,Low,binge_eating,nashville,1782
195,19,Male,Medium,Vegetarian,High,restrictive_eating,nashville,1379.4
196,47,Female,High,vegan,High,restrictive_eating,springfield,3350.16
197,22,Female,High,vegan,High,binge_eating,champaign,1568.16
198,50,Female,Medium,Non-vegetarian,Medium,restrictive_eating,alton,3300
199,41,Male,High,Vegetarian,High,binge_eating,springfield,3571.92
200,38,Male,High,Vegetarian,Medium,restrictive_eating,springfield,3009.6
201,32,Female,High,vegan,Low,binge_eating,chicago,1866.24
202,49,Male,Medium,vegan,Low,binge_eating,springfield,2910.6
203,39,Male,Low,Non-vegetarian,Medium,binge_eating,champaign,2516.8
204,36,Male,Low,Vegetarian,Medium,binge_eating,champaign,1900.8
205,50,Female,High,vegan,High,binge_eating,alton,3564
206,28,Male,High,vegan,High,restrictive_eating,naperville,2439.36
207,47,Male,Low,vegan,Medium,binge_eating,springfield,2481.6
208,35,Male,Medium,Non-vegetarian,Medium,restrictive_eating,springfield,2823.333333
209,44,Male,High,vegan,High,restrictive_eating,nashville,3833.28
210,45,Male,Medium,vegan,Low,restrictive_eating,nashville,2673
211,27,Male,High,Vegetarian,Medium,binge_eating,champaign,2138.4
212,24,Male,Medium,Vegetarian,High,restrictive_eating,naperville,1742.4
213,60,Male,Medium,vegan,High,restrictive_eating,springfield,4356
214,32,Female,Medium,Vegetarian,Low,restrictive_eating,nashville,1555.2
215,27,Female,Medium,Non-vegetarian,Low,binge_eating,naperville,1603.8
216,53,Female,High,Vegetarian,High,restrictive_eating,naperville,3777.84
217,46,Female,Low,Vegetarian,Medium,restrictive_eating,alton,1987.2
218,20,Female,High,Non-vegetarian,High,binge_eating,chicago,1742.4
219,51,Female,High,Non-vegetarian,Medium,binge_eating,nashville,4039.2
220,58,Female,Medium,vegan,High,binge_eating,chicago,3445.2
221,54,Male,High,vegan,High,binge_eating,naperville,4704.48
222,50,Male,Low,Non-vegetarian,Low,restrictive_eating,alton,2904
223,21,Female,Medium,Vegetarian,High,binge_eating,chicago,1247.4
224,22,Female,Low,Non-vegetarian,Low,binge_eating,naperville,1045.44
225,56,Female,High,Vegetarian,Low,binge_eating,springfield,3265.92
226,60,Female,Low,Vegetarian,Low,binge_eating,champaign,2332.8
227,35,Female,Low,vegan,Medium,restrictive_eating,champaign,1512
228,31,Male,High,vegan,Medium,binge_eating,springfield,2455.2
229,41,Female,High,Vegetarian,High,binge_eating,naperville,2922.48
230,54,Female,Low,Non-vegetarian,Low,binge_eating,chicago,2566.08
231,53,Female,Low,vegan,Medium,restrictive_eating,champaign,2289.6
232,24,Female,High,Vegetarian,High,restrictive_eating,alton,1710.72
233,36,Female,Medium,Vegetarian,High,binge_eating,chicago,2138.4
234,45,Female,Low,Non-vegetarian,Low,binge_eating,chicago,2138.4
235,53,Male,Low,Vegetarian,Medium,binge_eating,chicago,2798.4
236,48,Male,High,Non-vegetarian,Low,binge_eating,chicago,4181.76
237,51,Female,Low,Non-vegetarian,Low,binge_eating,chicago,2423.52
238,34,Female,Medium,Non-vegetarian,Low,restrictive_eating,alton,2019.6
239,35,Female,Low,Non-vegetarian,Low,restrictive_eating,alton,1663.2
240,53,Female,Medium,Vegetarian,Low,binge_eating,springfield,2575.8
241,41,Male,Medium,Vegetarian,High,restrictive_eating,naperville,2976.6
242,32,Female,High,Non-vegetarian,Low,restrictive_eating,chicago,2280.96
243,41,Female,Low,vegan,High,restrictive_eating,chicago,1948.32
244,50,Female,Medium,Non-vegetarian,Medium,restrictive_eating,alton,3300
245,39,Male,Low,vegan,Low,binge_eating,naperville,1853.28
246,51,Male,Medium,vegan,Low,binge_eating,alton,3029.4
247,19,Male,High,vegan,High,binge_eating,chicago,1655.28
248,42,Female,High,vegan,Low,binge_eating,springfield,2449.44
249,59,Female,High,Non-vegetarian,Low,binge_eating,chicago,4205.52
250,18,Female,High,Vegetarian,Low,restrictive_eating,alton,1049.76
251,29,Female,Medium,Non-vegetarian,High,restrictive_eating,chicago,2105.4
252,49,Male,High,vegan,High,binge_eating,chicago,4268.88
253,28,Male,Medium,vegan,Low,restrictive_eating,naperville,1663.2
254,37,Female,Low,vegan,Medium,restrictive_eating,alton,1598.4
255,51,Female,Low,vegan,High,restrictive_eating,champaign,2423.52
256,25,Female,Low,Vegetarian,Low,binge_eating,naperville,972
257,59,Male,High,vegan,Medium,binge_eating,naperville,4672.8
258,59,Female,Medium,Non-vegetarian,Low,binge_eating,naperville,3504.6
259,41,Male,Medium,vegan,Low,binge_eating,champaign,2435.4
260,51,Female,Low,vegan,High,binge_eating,springfield,2423.52
261,30,Male,Medium,vegan,Low,restrictive_eating,chicago,1782
262,36,Male,Medium,vegan,High,restrictive_eating,chicago,2613.6
263,50,Male,Medium,Vegetarian,Low,restrictive_eating,naperville,2970
264,40,Male,Medium,Non-vegetarian,Medium,restrictive_eating,champaign,3226.666667
265,43,Male,Low,Non-vegetarian,High,binge_eating,naperville,3052.426667
266,47,Female,Medium,Non-vegetarian,High,binge_eating,springfield,3412.2
267,60,Male,Low,Vegetarian,Low,restrictive_eating,champaign,2851.2
268,49,Male,Medium,Vegetarian,Low,binge_eating,chicago,2910.6
269,24,Female,High,Non-vegetarian,Low,binge_eating,alton,1710.72
270,56,Male,Low,Vegetarian,High,restrictive_eating,champaign,3252.48
271,33,Male,Medium,Non-vegetarian,Low,restrictive_eating,chicago,2395.8
272,23,Male,High,Non-vegetarian,Low,restrictive_eating,alton,2003.76
273,54,Male,Low,vegan,Low,binge_eating,naperville,2566.08
274,23,Male,High,Vegetarian,High,binge_eating,springfield,2003.76
275,41,Female,Low,vegan,Medium,binge_eating,chicago,1771.2
276,47,Male,Medium,Non-vegetarian,High,restrictive_eating,chicago,4170.466667
277,34,Male,Low,Non-vegetarian,Medium,binge_eating,nashville,2194.133333
278,60,Male,High,Vegetarian,Medium,restrictive_eating,naperville,4752
279,44,Male,Low,Vegetarian,Medium,restrictive_eating,champaign,2323.2
280,18,Female,Medium,Vegetarian,High,binge_eating,alton,1069.2
281,23,Male,High,Vegetarian,Medium,restrictive_eating,naperville,1821.6
282,28,Female,High,Non-vegetarian,High,restrictive_eating,chicago,2439.36
283,48,Male,High,vegan,Medium,restrictive_eating,chicago,3801.6
284,30,Male,Low,Non-vegetarian,High,binge_eating,alton,2129.6
285,59,Male,Low,Vegetarian,High,restrictive_eating,naperville,3426.72
286,26,Male,Medium,Vegetarian,Medium,binge_eating,alton,1716
287,24,Female,High,Vegetarian,Low,restrictive_eating,naperville,1399.68
288,19,Male,High,Non-vegetarian,Low,binge_eating,chicago,1655.28
289,39,Female,Low,vegan,High,restrictive_eating,nashville,1853.28
290,29,Male,Low,Vegetarian,Low,binge_eating,naperville,1378.08
291,45,Female,High,vegan,High,binge_eating,chicago,3207.6
292,23,Male,Low,vegan,High,binge_eating,champaign,1335.84
293,28,Male,Medium,Non-vegetarian,Medium,restrictive_eating,alton,2258.666667
294,53,Female,Low,vegan,High,restrictive_eating,champaign,2518.56
295,24,Female,Medium,Non-vegetarian,High,restrictive_eating,springfield,1742.4
296,43,Male,Low,vegan,Low,binge_eating,champaign,2043.36
297,37,Male,Medium,vegan,High,restrictive_eating,champaign,2686.2
298,57,Male,Low,Non-vegetarian,Low,restrictive_eating,champaign,3310.56
299,51,Male,Low,Vegetarian,Low,restrictive_eating,alton,2423.52
300,31,Male,Medium,Non-vegetarian,Low,restrictive_eating,champaign,2250.6
301,50,Female,High,Non-vegetarian,Medium,restrictive_eating,champaign,3960
302,32,Female,Medium,Vegetarian,Medium,restrictive_eating,springfield,1728
303,40,Male,Low,vegan,Low,restrictive_eating,springfield,1900.8
304,32,Female,Medium,Vegetarian,High,restrictive_eating,nashville,1900.8
305,36,Male,High,Vegetarian,High,binge_eating,chicago,3136.32
306,57,Female,High,Non-vegetarian,Medium,restrictive_eating,nashville,4514.4
307,23,Male,High,Vegetarian,Low,binge_eating,nashville,1639.44
308,39,Female,Medium,Vegetarian,Medium,restrictive_eating,nashville,2106
309,32,Male,Low,vegan,Medium,binge_eating,naperville,1689.6
310,60,Male,High,vegan,Medium,binge_eating,alton,4752
311,53,Male,High,Non-vegetarian,High,binge_eating,champaign,5643.44
312,30,Male,Medium,vegan,High,restrictive_eating,alton,2178
313,27,Female,Medium,Non-vegetarian,Medium,binge_eating,alton,1782
314,35,Female,Low,Vegetarian,High,binge_eating,springfield,1663.2
315,46,Female,Medium,vegan,Medium,restrictive_eating,alton,2484
316,35,Female,Low,vegan,Medium,binge_eating,alton,1512
317,41,Male,Medium,vegan,High,restrictive_eating,springfield,2976.6
318,40,Male,High,vegan,Medium,restrictive_eating,alton,3168
319,45,Male,High,Vegetarian,High,restrictive_eating,alton,3920.4
320,46,Female,High,vegan,Medium,restrictive_eating,champaign,2980.8
321,37,Male,Medium,vegan,Medium,binge_eating,chicago,2442
322,24,Male,High,Vegetarian,High,binge_eating,alton,2090.88
323,57,Male,High,Non-vegetarian,Low,restrictive_eating,champaign,4965.84
324,48,Male,High,vegan,High,binge_eating,alton,4181.76
325,19,Male,Low,vegan,High,restrictive_eating,alton,1103.52
326,57,Male,High,Vegetarian,High,binge_eating,nashville,4965.84
327,41,Male,Medium,Vegetarian,Medium,restrictive_eating,springfield,2706
328,56,Male,Medium,Vegetarian,Medium,restrictive_eating,nashville,3696
329,31,Female,Low,vegan,High,restrictive_eating,nashville,1473.12
330,51,Male,Low,Vegetarian,Low,binge_eating,naperville,2423.52
331,24,Male,Medium,Non-vegetarian,High,restrictive_eating,springfield,2129.6
332,40,Male,Medium,Non-vegetarian,Medium,restrictive_eating,chicago,3226.666667
333,31,Female,Medium,vegan,Medium,binge_eating,springfield,1674
334,41,Female,Medium,Non-vegetarian,Medium,binge_eating,naperville,2706
335,56,Male,Medium,Non-vegetarian,Low,restrictive_eating,springfield,4065.6
336,23,Female,High,Non-vegetarian,Medium,binge_eating,naperville,1821.6
337,46,Female,Low,Vegetarian,High,restrictive_eating,champaign,2185.92
338,59,Female,High,Non-vegetarian,Low,binge_eating,alton,4205.52
339,35,Male,High,Vegetarian,Low,binge_eating,nashville,2494.8
340,60,Male,Low,vegan,Medium,restrictive_eating,nashville,3168
341,52,Male,High,Vegetarian,High,binge_eating,nashville,4530.24
342,54,Female,Medium,Vegetarian,Low,restrictive_eating,nashville,2624.4
343,34,Male,Medium,Non-vegetarian,High,restrictive_eating,champaign,3016.933333
344,58,Female,Low,Vegetarian,Medium,binge_eating,springfield,2505.6
345,21,Female,Low,Non-vegetarian,Low,binge_eating,naperville,997.92
346,32,Female,High,Non-vegetarian,High,binge_eating,springfield,2787.84
347,26,Male,Low,Vegetarian,High,binge_eating,champaign,1510.08
348,37,Male,Low,Vegetarian,Low,restrictive_eating,chicago,1758.24
349,60,Female,Medium,Non-vegetarian,Low,binge_eating,alton,3564
350,18,Male,Low,Vegetarian,Low,restrictive_eating,nashville,855.36
351,50,Male,High,Non-vegetarian,High,binge_eating,alton,5324
352,36,Male,High,vegan,Low,binge_eating,alton,2566.08
353,26,Female,Medium,Vegetarian,High,restrictive_eating,champaign,1544.4
354,29,Male,High,Non-vegetarian,Low,restrictive_eating,naperville,2526.48
355,23,Male,Low,Vegetarian,High,restrictive_eating,champaign,1335.84
356,52,Male,High,vegan,Low,binge_eating,nashville,3706.56
357,57,Female,High,vegan,High,restrictive_eating,springfield,4062.96
358,39,Male,Medium,Non-vegetarian,High,binge_eating,nashville,3460.6
359,52,Male,Medium,Vegetarian,Medium,binge_eating,nashville,3432
360,40,Male,Low,vegan,Medium,restrictive_eating,springfield,2112
361,27,Female,Low,Non-vegetarian,High,restrictive_eating,naperville,1568.16
362,33,Female,Medium,Non-vegetarian,High,restrictive_eating,alton,2395.8
363,59,Female,Medium,Vegetarian,Medium,binge_eating,chicago,3186
364,28,Male,Medium,vegan,High,restrictive_eating,naperville,2032.8
365,42,Male,Low,vegan,Low,binge_eating,alton,1995.84
366,46,Male,Low,vegan,Low,binge_eating,champaign,2185.92
367,22,Male,Medium,Vegetarian,Low,binge_eating,springfield,1306.8
368,26,Female,High,Vegetarian,High,restrictive_eating,champaign,1853.28
369,19,Male,Low,Vegetarian,Low,restrictive_eating,springfield,902.88
370,54,Male,Low,Vegetarian,Low,restrictive_eating,chicago,2566.08
371,38,Male,Medium,vegan,Medium,binge_eating,alton,2508
372,53,Male,Low,Vegetarian,Low,binge_eating,chicago,2518.56
373,56,Female,High,Non-vegetarian,Medium,binge_eating,naperville,4435.2
374,47,Female,High,Non-vegetarian,High,binge_eating,nashville,4094.64
375,38,Male,Low,Vegetarian,Medium,restrictive_eating,springfield,2006.4
376,43,Female,High,Vegetarian,Medium,restrictive_eating,naperville,2786.4
377,47,Male,Low,Vegetarian,Low,restrictive_eating,nashville,2233.44
378,28,Male,Low,Non-vegetarian,Medium,restrictive_eating,springfield,1806.933333
379,32,Female,High,Vegetarian,High,binge_eating,nashville,2280.96
380,54,Female,Low,vegan,Low,restrictive_eating,chicago,2099.52
381,22,Male,High,vegan,Medium,binge_eating,alton,1742.4
382,44,Male,Low,Vegetarian,Low,restrictive_eating,alton,2090.88
383,50,Female,High,vegan,Low,binge_eating,champaign,2916
384,38,Female,High,vegan,Low,binge_eating,alton,2216.16
385,37,Male,High,Vegetarian,High,restrictive_eating,champaign,3223.44
386,60,Male,High,Non-vegetarian,Medium,binge_eating,alton,5808
387,48,Female,Medium,vegan,Low,restrictive_eating,champaign,2332.8
388,46,Female,High,vegan,High,binge_eating,nashville,3278.88
389,25,Male,Medium,Vegetarian,High,restrictive_eating,alton,1815
390,39,Female,High,Vegetarian,Low,binge_eating,naperville,2274.48
391,44,Male,Low,vegan,Low,binge_eating,alton,2090.88
392,24,Female,Low,Non-vegetarian,High,restrictive_eating,naperville,1393.92
393,34,Male,Medium,vegan,Low,binge_eating,alton,2019.6
